Name,State App't From,Appointed by President,Judicial Oath Taken,Date Service Terminated
"Jay, John",New York,Washington,"(a) October 19, 1789","June 29, 1795"
"Rutledge, John",South Carolina,Washington,"August 12, 1795","December 15, 1795"
"Ellsworth, Oliver",Connecticut,Washington,"March 8, 1796","December 15, 1800"
"Marshall, John",Virginia,"Adams, John","February 4, 1801","July 6, 1835"
"Taney, Roger Brooke",Maryland,Jackson,"March 28, 1836","October 12, 1864"
"Chase, Salmon Portland",Ohio,Lincoln,"December 15, 1864","May 7, 1873"
"Waite, Morrison Remick",Ohio,Grant,"March 4, 1874","March 23, 1888"
"Fuller, Melville Weston",Illinois,Cleveland,"October 8, 1888","July 4, 1910"
"White, Edward Douglass",Louisiana,Taft,"December 19, 1910","May 19, 1921"
"Taft, William Howard",Connecticut,Harding,"July 11, 1921","February 3, 1930"
"Hughes, Charles Evans",New York,Hoover,"February 24, 1930","June 30, 1941"
"Stone, Harlan Fiske",New York,"Roosevelt, F.","July 3, 1941","April 22, 1946"
"Vinson, Fred Moore",Kentucky,Truman,"June 24, 1946","September 8, 1953"
"Warren, Earl",California,Eisenhower,"October 5, 1953","June 23, 1969"
"Burger, Warren Earl",Virginia,Nixon,"June 23, 1969","September 26, 1986"
"Rehnquist, William H.",Virginia,Reagan,"September 26, 1986","September 3, 2005"
"Roberts, John G., Jr.",Maryland,"Bush, G. W.","September 29, 2005",
"Rutledge, John",South Carolina,Washington,"(a) February 15, 1790","March 5, 1791"
"Cushing, William",Massachusetts,Washington,"(c) February 2, 1790","September 13, 1810"
"Wilson, James",Pennsylvania,Washington,"(b) October 5, 1789","August 21, 1798"
"Blair, John",Virginia,Washington,"(c) February 2, 1790","October 25, 1795"
"Iredell, James",North Carolina,Washington,"(b) May 12, 1790","October 20, 1799"
"Johnson, Thomas",Maryland,Washington,"September 19, 1791","January 16, 1793"
"Paterson, William",New Jersey,Washington,"(a) March 11, 1793","September 9, 1806"
"Chase, Samuel",Maryland,Washington,"February 4, 1796","June 19, 1811"
"Washington, Bushrod",Virginia,"Adams, John","November 9, 1798","November 26, 1829"
"Moore, Alfred",North Carolina,"Adams, John","(a) April 21, 1800","January 26, 1804"
"Johnson, William",South Carolina,Jefferson,"May 7, 1804","August 4, 1834"
"Livingston, Brockholst",New York,Jefferson,"January 20, 1807","March 18, 1823"
"Todd, Thomas",Kentucky,Jefferson,"(a) May 4, 1807","February 7, 1826"
"Duvall, Gabriel",Maryland,Madison,"(a) November 23, 1811","January 14, 1835"
"Story, Joseph",Massachusetts,Madison,"(c) February 3, 1812","September 10, 1845"
"Thompson, Smith",New York,Monroe,"(b) September 1, 1823","December 18, 1843"
"Trimble, Robert",Kentucky,"Adams, J. Q.","(a) June 16, 1826","August 25, 1828"
"McLean, John",Ohio,Jackson,"March 12, 1829","April 4, 1861"
"Baldwin, Henry",Pennsylvania,Jackson,"January 18, 1830","April 21, 1844"
"Wayne, James Moore",Georgia,Jackson,"January 14, 1835","July 5, 1867"
"Barbour, Philip Pendleton",Virginia,Jackson,"May 12, 1836","February 25, 1841"
"Catron, John",Tennessee,Jackson,"May 1, 1837","May 30, 1865"
"McKinley, John",Alabama,Van Buren,"(c) January 9, 1838","July 19, 1852"
"Daniel, Peter Vivian",Virginia,Van Buren,"(c) January 10, 1842","May 31, 1860"
"Nelson, Samuel",New York,Tyler,"February 27, 1845","November 28, 1872"
"Woodbury, Levi",New Hampshire,Polk,"(b) September 23, 1845","September 4, 1851"
"Grier, Robert Cooper",Pennsylvania,Polk,"August 10, 1846","January 31, 1870"
"Curtis, Benjamin Robbins",Massachusetts,Fillmore,"(b) October 10, 1851","September 30, 1857"
"Campbell, John Archibald",Alabama,Pierce,"(c) April 11, 1853","April 30, 1861"
